"Localidade";"Variável";"2017";"2018";"2019"
"Abadia de Goiás";"Foco de queimada  (número)";"5";"5";"10"
"Abadiânia";"Foco de queimada  (número)";"21";"5";"23"
"Acreúna";"Foco de queimada  (número)";"75";"9";"78"
"Adelândia";"Foco de queimada  (número)";"1";"-";"-"
"Água Fria de Goiás";"Foco de queimada  (número)";"67";"33";"63"
"Água Limpa";"Foco de queimada  (número)";"2";"9";"25"
"Águas Lindas de Goiás";"Foco de queimada  (número)";"16";"-";"7"
"Alexânia";"Foco de queimada  (número)";"12";"1";"9"
"Aloândia";"Foco de queimada  (número)";"1";"-";"1"
"Alto Horizonte";"Foco de queimada  (número)";"14";"3";"-"
"Alto Paraíso de Goiás";"Foco de queimada  (número)";"135";"10";"65"
"Alvorada do Norte";"Foco de queimada  (número)";"19";"41";"19"
"Amaralina";"Foco de queimada  (número)";"16";"30";"51"
"Americano do Brasil";"Foco de queimada  (número)";"1";"1";"-"
"Amorinópolis";"Foco de queimada  (número)";"5";"-";"1"
"Anápolis";"Foco de queimada  (número)";"20";"10";"12"
"Anhanguera";"Foco de queimada  (número)";"-";"-";"-"
"Anicuns";"Foco de queimada  (número)";"11";"5";"15"
"Aparecida de Goiânia";"Foco de queimada  (número)";"10";"12";"9"
"Aparecida do Rio Doce";"Foco de queimada  (número)";"10";"4";"5"
"Aporé";"Foco de queimada  (número)";"27";"18";"20"
"Araçu";"Foco de queimada  (número)";"-";"-";"-"
"Aragarças";"Foco de queimada  (número)";"21";"12";"6"
"Aragoiânia";"Foco de queimada  (número)";"1";"1";"4"
"Araguapaz";"Foco de queimada  (número)";"30";"13";"98"
"Arenópolis";"Foco de queimada  (número)";"7";"4";"6"
"Aruanã";"Foco de queimada  (número)";"40";"16";"23"
"Aurilândia";"Foco de queimada  (número)";"-";"1";"5"
"Avelinópolis";"Foco de queimada  (número)";"1";"-";"-"
"Baliza";"Foco de queimada  (número)";"105";"23";"57"
"Barro Alto";"Foco de queimada  (número)";"18";"6";"10"
"Bela Vista de Goiás";"Foco de queimada  (número)";"16";"12";"31"
"Bom Jardim de Goiás";"Foco de queimada  (número)";"11";"34";"13"
"Bom Jesus de Goiás";"Foco de queimada  (número)";"49";"26";"165"
"Bonfinópolis";"Foco de queimada  (número)";"2";"-";"9"
"Bonópolis";"Foco de queimada  (número)";"16";"10";"11"
"Brazabrantes";"Foco de queimada  (número)";"-";"-";"-"
"Britânia";"Foco de queimada  (número)";"12";"4";"5"
"Buriti Alegre";"Foco de queimada  (número)";"9";"-";"6"
"Buriti de Goiás";"Foco de queimada  (número)";"7";"-";"-"
"Buritinópolis";"Foco de queimada  (número)";"1";"2";"5"
"Cabeceiras";"Foco de queimada  (número)";"16";"7";"10"
"Cachoeira Alta";"Foco de queimada  (número)";"14";"21";"8"
"Cachoeira de Goiás";"Foco de queimada  (número)";"4";"-";"3"
"Cachoeira Dourada";"Foco de queimada  (número)";"17";"28";"56"
"Caçu";"Foco de queimada  (número)";"26";"22";"53"
"Caiapônia";"Foco de queimada  (número)";"111";"37";"99"
"Caldas Novas";"Foco de queimada  (número)";"24";"10";"33"
"Caldazinha";"Foco de queimada  (número)";"-";"-";"3"
"Campestre de Goiás";"Foco de queimada  (número)";"7";"1";"1"
"Campinaçu";"Foco de queimada  (número)";"97";"22";"87"
"Campinorte";"Foco de queimada  (número)";"21";"7";"61"
"Campo Alegre de Goiás";"Foco de queimada  (número)";"50";"14";"34"
"Campo Limpo de Goiás";"Foco de queimada  (número)";"6";"-";"2"
"Campos Belos";"Foco de queimada  (número)";"18";"13";"14"
"Campos Verdes";"Foco de queimada  (número)";"9";"1";"4"
"Carmo do Rio Verde";"Foco de queimada  (número)";"4";"6";"11"
"Castelândia";"Foco de queimada  (número)";"2";"4";"6"
"Catalão";"Foco de queimada  (número)";"54";"36";"61"
"Caturaí";"Foco de queimada  (número)";"2";"-";"2"
"Cavalcante";"Foco de queimada  (número)";"371";"52";"318"
"Ceres";"Foco de queimada  (número)";"3";"3";"3"
"Cezarina";"Foco de queimada  (número)";"11";"7";"10"
"Chapadão do Céu";"Foco de queimada  (número)";"39";"17";"19"
"Cidade Ocidental";"Foco de queimada  (número)";"9";"10";"6"
"Cocalzinho de Goiás";"Foco de queimada  (número)";"34";"27";"44"
"Colinas do Sul";"Foco de queimada  (número)";"131";"29";"167"
"Córrego do Ouro";"Foco de queimada  (número)";"-";"11";"6"
"Corumbá de Goiás";"Foco de queimada  (número)";"12";"2";"8"
"Corumbaíba";"Foco de queimada  (número)";"26";"9";"28"
"Cristalina";"Foco de queimada  (número)";"129";"62";"108"
"Cristianópolis";"Foco de queimada  (número)";"2";"1";"11"
"Crixás";"Foco de queimada  (número)";"86";"20";"136"
"Cromínia";"Foco de queimada  (número)";"3";"-";"22"
"Cumari";"Foco de queimada  (número)";"2";"-";"6"
"Damianópolis";"Foco de queimada  (número)";"3";"2";"3"
"Damolândia";"Foco de queimada  (número)";"-";"-";"1"
"Davinópolis";"Foco de queimada  (número)";"14";"1";"8"
"Diorama";"Foco de queimada  (número)";"-";"3";"6"
"Divinópolis de Goiás";"Foco de queimada  (número)";"-";"4";"6"
"Doverlândia";"Foco de queimada  (número)";"35";"36";"58"
"Edealina";"Foco de queimada  (número)";"4";"2";"7"
"Edéia";"Foco de queimada  (número)";"47";"20";"80"
"Estrela do Norte";"Foco de queimada  (número)";"2";"2";"8"
"Faina";"Foco de queimada  (número)";"37";"6";"35"
"Fazenda Nova";"Foco de queimada  (número)";"6";"8";"17"
"Firminópolis";"Foco de queimada  (número)";"-";"3";"5"
"Flores de Goiás";"Foco de queimada  (número)";"49";"137";"61"
"Formosa";"Foco de queimada  (número)";"234";"121";"240"
"Formoso";"Foco de queimada  (número)";"5";"14";"35"
"Gameleira de Goiás";"Foco de queimada  (número)";"4";"1";"12"
"Goianápolis";"Foco de queimada  (número)";"17";"3";"2"
"Goiandira";"Foco de queimada  (número)";"1";"-";"4"
"Goianésia";"Foco de queimada  (número)";"11";"8";"20"
"Goiânia";"Foco de queimada  (número)";"64";"20";"37"
"Goianira";"Foco de queimada  (número)";"4";"6";"5"
"Goiás";"Foco de queimada  (número)";"32";"14";"43"
"Goiatuba";"Foco de queimada  (número)";"69";"30";"121"
"Gouvelândia";"Foco de queimada  (número)";"30";"26";"22"
"Guapó";"Foco de queimada  (número)";"-";"-";"36"
"Guaraíta";"Foco de queimada  (número)";"-";"3";"-"
"Guarani de Goiás";"Foco de queimada  (número)";"17";"24";"12"
"Guarinos";"Foco de queimada  (número)";"2";"1";"15"
"Heitoraí";"Foco de queimada  (número)";"5";"1";"2"
"Hidrolândia";"Foco de queimada  (número)";"14";"6";"22"
"Hidrolina";"Foco de queimada  (número)";"4";"9";"5"
"Iaciara";"Foco de queimada  (número)";"26";"26";"10"
"Inaciolândia";"Foco de queimada  (número)";"12";"24";"11"
"Indiara";"Foco de queimada  (número)";"17";"8";"46"
"Inhumas";"Foco de queimada  (número)";"11";"3";"17"
"Ipameri";"Foco de queimada  (número)";"78";"48";"42"
